id,Latitude,Longitude,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,target
31,37.84,-122.28,1.9615,52,4.882086168,1.090702948,1168,2.648526077,1.152
32,37.84,-122.27,1.7969,48,5.737313433,1.220895522,1026,3.062686567,1.104
33,37.83,-122.27,1.375,49,5.030395137,1.112462006,754,2.291793313,1.049
34,37.83,-122.27,2.7303,51,4.972014925,1.070895522,1258,2.347014925,1.097
35,37.83,-122.27,1.4861,49,4.602272727,1.068181818,570,2.159090909,0.972
36,37.83,-122.27,1.0972,48,4.807486631,1.155080214,987,2.639037433,1.045
37,37.83,-122.28,1.4103,52,3.749379653,0.967741935,901,2.23573201,1.039
38,37.83,-122.26,3.48,52,4.757281553,1.067961165,689,2.229773463,1.914
39,37.83,-122.26,2.5898,52,3.494252874,1.027298851,1377,1.978448276,1.76
40,37.83,-122.26,2.0978,52,4.215189873,1.060759494,946,2.394936709,1.554
41,37.83,-122.26,1.2852,51,3.759036145,1.248995984,517,2.076305221,1.5
42,37.84,-122.26,1.025,49,3.772486772,1.068783069,462,2.444444444,1.188
43,37.84,-122.26,3.9643,52,4.797979798,1.02020202,467,2.358585859,1.888
44,37.83,-122.26,3.0125,52,4.941780822,1.065068493,660,2.260273973,1.844
45,37.83,-122.26,2.6768,52,4.335078534,1.09947644,718,1.879581152,1.823
46,37.83,-122.26,2.026,50,3.700657895,1.059210526,616,2.026315789,1.425
47,37.82,-122.27,1.7348,43,3.980237154,1.233201581,558,2.205533597,1.375
48,37.82,-122.26,0.9506,40,3.9,1.21875,423,2.64375,1.875
49,37.82,-122.27,1.775,40,2.6875,1.065340909,700,1.988636364,1.125
50,37.82,-122.27,0.9218,21,2.0456621,1.034246575,735,1.678082192,1.719
51,37.82,-122.27,1.5045,43,4.58968059,1.12039312,1061,2.606879607,0.938
52,37.82,-122.27,1.1108,41,4.473611111,1.184722222,1959,2.720833333,0.975
53,37.82,-122.27,1.2475,52,4.075,1.14,1162,2.905,1.042
54,37.82,-122.28,1.6098,52,5.021459227,1.008583691,701,3.008583691,0.875
55,37.82,-122.28,1.4113,52,4.295454545,1.104545455,576,2.618181818,0.831
56,37.82,-122.28,1.5057,52,4.77992278,1.111969112,622,2.401544402,0.875
57,37.82,-122.28,0.8172,52,6.102459016,1.37295082,728,2.983606557,0.853
58,37.82,-122.28,1.2171,52,4.5625,1.121710526,1074,3.532894737,0.803
59,37.82,-122.29,2.5625,2,2.771929825,0.754385965,94,1.649122807,0.6
60,37.83,-122.29,3.3929,52,5.994652406,1.128342246,554,2.962566845,0.757
61,37.82,-122.29,6.1183,49,5.869565217,1.260869565,86,3.739130435,0.75
62,37.81,-122.29,0.9011,50,6.229508197,1.557377049,377,3.090163934,0.861
63,37.81,-122.3,1.191,52,7.698113208,1.490566038,521,3.27672956,0.761
64,37.81,-122.3,2.5938,48,6.22556391,1.368421053,392,2.947368421,0.735
65,37.81,-122.3,1.1667,52,5.401069519,1.117647059,604,3.229946524,0.784
66,37.81,-122.3,0.8056,48,4.38253012,1.06626506,788,2.373493976,0.844
67,37.8,-122.29,2.6094,52,6.986394558,1.659863946,492,3.346938776,0.813
68,37.81,-122.3,1.8516,52,6.975609756,1.329268293,274,3.341463415,0.85
69,37.81,-122.29,0.9802,46,4.584288052,1.05400982,1823,2.983633388,1.292
70,37.81,-122.29,1.7719,26,6.047244094,1.196850394,392,3.086614173,0.825
71,37.81,-122.29,0.7286,46,3.375451264,1.072202166,582,2.101083032,0.952
72,37.81,-122.29,1.75,49,5.552631579,1.342105263,560,3.684210526,0.75
73,37.81,-122.29,0.4999,46,1.714285714,0.571428571,18,2.571428571,0.675
74,37.81,-122.29,2.483,20,6.278195489,1.210526316,290,2.180451128,1.375
75,37.81,-122.28,0.9241,17,2.817767654,1.0523918,762,1.735763098,1.775
76,37.81,-122.28,2.4464,36,5.724950884,1.104125737,1236,2.428290766,1.021
77,37.81,-122.28,1.1111,19,5.830917874,1.173913043,721,3.483091787,1.083
78,37.81,-122.29,0.8026,23,5.369230769,1.150769231,1054,3.243076923,1.125
79,37.8,-122.28,2.0114,38,4.412903226,1.135483871,344,2.219354839,1.313
80,37.81,-122.28,1.5,17,3.197231834,1,609,2.107266436,1.625
81,37.81,-122.27,1.1667,52,3.75,1,183,3.267857143,1.125
82,37.81,-122.28,1.5208,52,3.908045977,1.114942529,200,2.298850575,1.125
83,37.81,-122.28,0.8075,52,2.490322581,1.058064516,346,2.232258065,1.375
84,37.81,-122.28,1.8088,35,5.609467456,1.088757396,467,2.763313609,1.188
85,37.81,-122.28,2.4083,52,6.72173913,1.243478261,377,3.27826087,0.982
86,37.81,-122.27,0.977,40,2.315789474,1.186842105,582,1.531578947,1.188
87,37.81,-122.27,0.76,10,2.651515152,1.054545455,546,1.654545455,1.625
88,37.8,-122.27,0.9722,10,2.692307692,1.076923077,125,3.205128205,1.375
89,37.8,-122.27,1.2434,52,2.929411765,0.917647059,396,4.658823529,5.00001
90,37.8,-122.27,2.0938,16,2.745856354,1.082872928,800,2.209944751,1.625
91,37.8,-122.28,0.8668,52,2.443181818,0.988636364,904,10.27272727,1.375
92,37.8,-122.28,0.75,52,2.823529412,0.911764706,191,5.617647059,1.625
93,37.79,-122.27,2.6354,27,3.493377483,1.149006623,718,2.377483444,1.875
94,37.8,-122.27,1.8477,39,3.672376874,1.334047109,1327,2.841541756,1.792
95,37.8,-122.26,2.0096,36,2.294016358,1.066293586,3469,1.493327594,1.3
96,37.82,-122.26,2.8345,31,3.894915254,1.127966102,2048,1.73559322,1.838
97,37.81,-122.26,2.0062,29,3.681318681,1.175824176,202,2.21978022,1.25
98,37.82,-122.26,1.2185,22,2.9456,1.016,2024,1.6192,1.7
99,37.82,-122.26,2.6104,37,3.707142857,1.107142857,1838,1.875510204,1.931
100,37.81,-122.25,2.4912,29,3.7248,1.1312,2304,1.8432,2.578
101,37.81,-122.25,3.2177,28,3.878423514,1.070808283,2563,1.712090848,2.734
102,37.81,-122.25,3.125,39,3.745614035,1.061403509,389,1.706140351,2.375
103,37.81,-122.25,2.5795,52,3.515497553,1.143556281,895,1.460032626,3.5
104,37.81,-122.26,2.8406,34,3.281721632,1.069871437,2689,1.503074343,3.357
105,37.82,-122.24,4.9306,52,6.18442623,0.922131148,674,2.762295082,3.134
106,37.81,-122.24,3.2727,52,4.442982456,1.057017544,709,1.554824561,2.685
107,37.81,-122.25,3.1691,52,4.165876777,1.090047393,686,1.625592417,2.594
108,37.82,-122.24,3.9,52,4.848189415,1.045961003,1444,2.011142061,2.757
109,37.82,-122.25,3.9063,28,4.16084788,1.066084788,1520,1.895261845,2.25
110,37.82,-122.25,5.0917,52,5.628458498,1.14229249,550,2.173913043,2.625
111,37.82,-122.25,2.6429,32,3.727005871,1.074363992,1806,1.767123288,2.185
112,37.82,-122.25,3.0233,26,3.253081348,0.982744454,1749,1.437140509,2.55
113,37.83,-122.25,3.1484,52,4.578034682,1.077071291,939,1.809248555,2.241
114,37.83,-122.25,3.4722,35,3.822274882,1.014218009,675,1.599526066,2.431
115,37.83,-122.25,3.1429,52,4.395189003,0.986254296,534,1.835051546,2.316
116,37.83,-122.25,2.4234,28,3.023479831,1.053582179,2558,1.540036123,2.185
117,37.83,-122.25,3.0897,52,4.040501446,1.06557377,1786,1.722275796,2.341
118,37.84,-122.23,5.8596,50,6.742627346,1.069705094,970,2.600536193,3.276
119,37.84,-122.23,5.2868,47,6.546391753,0.936082474,1098,2.263917526,3.476
120,37.83,-122.24,5.956,41,6.85106383,1.079787234,794,2.111702128,3.661
121,37.85,-122.24,4.9643,37,7.106382979,1.14893617,98,2.085106383,3.35
122,37.85,-122.23,6.3434,52,6.947890819,1.019851117,1061,2.632754342,3.736
123,37.84,-122.24,5.1773,52,6.358558559,1.034234234,1177,2.120720721,3.895
124,37.85,-122.24,7.2354,52,7.117166213,0.994550409,901,2.455040872,3.911
125,37.85,-122.22,5.457,28,5.530334728,1.09623431,2031,2.124476987,3.373
126,37.84,-122.22,7.5,50,6.127348643,0.987473904,1031,2.152400835,2.952
127,37.84,-122.21,6.0194,44,5.735343384,1,1358,2.274706868,2.923
128,37.83,-122.21,7.5544,40,7.631498471,1.03058104,1616,2.470948012,4.115
129,37.84,-122.2,6.0666,30,6.44606414,1.008746356,844,2.460641399,3.115
130,37.84,-122.21,7.0548,34,6.125,0.987903226,1140,2.298387097,3.259
131,37.84,-122.19,11.6017,18,8.335051546,1.082474227,533,2.74742268,3.926
132,37.84,-122.2,7.4882,35,6.467268623,1.038374718,1072,2.41986456,3.193
133,37.83,-122.21,6.8976,34,6.61227154,1.028720627,1627,2.124020888,3.333
134,37.83,-122.19,8.2049,28,6.978947368,0.968421053,463,2.436842105,3.352
135,37.83,-122.2,8.401,26,7.530805687,1.056872038,542,2.568720379,3.512
136,37.83,-122.19,6.8538,29,6.657992565,1.007434944,661,2.457249071,3.689
137,37.82,-122.19,8.317,32,6.977186312,1.003802281,635,2.414448669,3.659
138,37.82,-122.2,7.0175,37,6.982954545,1.028409091,420,2.386363636,3.667
139,37.82,-122.2,6.3302,39,7.54,1.068,1265,2.53,3.628
140,37.81,-122.18,6.3624,30,5.615384615,0.730769231,126,2.423076923,4.833
141,37.82,-122.21,7.0549,52,6.785714286,0.951428571,813,2.322857143,3.314
142,37.81,-122.2,6.7851,45,6.957746479,1.023474178,1067,2.504694836,3.235
143,37.8,-122.21,2.8929,50,5.132246377,1.096014493,1260,2.282608696,2.167
144,37.8,-122.21,3.0812,38,4.628336756,1.098562628,951,1.952772074,2.331
145,37.81,-122.21,5.2402,52,6.200892857,0.946428571,510,2.276785714,2.964
146,37.81,-122.22,6.5217,52,6.399350649,1.087662338,765,2.483766234,2.737
147,37.8,-122.22,3.2632,52,4.745652174,1.010869565,1129,2.454347826,2.277
148,37.8,-122.22,3.0298,52,5.183673469,1.052154195,1073,2.433106576,1.996
149,37.8,-122.22,4.5428,52,5.283495146,1.050485437,1185,2.300970874,2.398
150,37.81,-122.22,4.072,52,5.952941176,0.997058824,756,2.223529412,2.701
151,37.81,-122.22,5.3509,52,5.650671785,1.028790787,1034,1.984644914,3.021
152,37.8,-122.23,3.1603,52,4.4291939,1.058823529,787,1.71459695,2.695
153,37.81,-122.23,4.7708,52,6.727699531,1.075117371,612,2.873239437,3.147
154,37.81,-122.22,8.1564,52,7.702631579,1.057894737,1021,2.686842105,3.901
155,37.81,-122.23,8.8793,52,8.972868217,1.131782946,861,3.337209302,4.103
156,37.81,-122.24,6.8591,52,7.599388379,0.957186544,953,2.914373089,3.524
157,37.81,-122.24,6.0302,52,5.8203125,0.9296875,634,2.4765625,2.873
158,37.81,-122.23,7.508,52,7.994318182,1.036931818,878,2.494318182,3.487
159,37.81,-122.24,2.7477,52,4.333333333,1.138716356,918,1.900621118,2.438
160,37.8,-122.24,2.1944,52,5.074285714,0.96,360,2.057142857,2.115
161,37.8,-122.25,3.0149,52,4.276639344,1.045081967,1197,2.452868852,2.184
162,37.81,-122.24,3.675,52,4.851351351,0.969111969,1048,2.023166023,2.699
163,37.81,-122.25,3.225,46,4.326639893,1.117804552,1373,1.838018742,2.188
164,37.8,-122.25,2.9345,42,4.0591133,1.049261084,1715,1.689655172,2.25
165,37.8,-122.25,2.1429,43,3.274238227,1.096952909,1359,1.882271468,2.5
166,37.8,-122.25,1.6121,41,3.561743341,1.13559322,1062,2.571428571,1.714
167,37.8,-122.25,1.3929,29,3.192755498,1.117723157,1335,1.727037516,1.938
168,37.79,-122.24,2.3173,27,3.804195804,1.146853147,1171,2.72960373,1.25
169,37.79,-122.25,1.7772,45,3.882608696,1.143478261,1475,3.206521739,0.975
170,37.79,-122.25,2.6458,50,3.209183673,0.959183673,742,3.785714286,1.25
171,37.79,-122.25,2.181,52,3.688705234,1.077134986,1086,2.991735537,1.388
172,37.8,-122.25,2.2303,36,3.090239411,1.116022099,1645,3.02946593,1.167
173,37.8,-122.25,1.6504,43,3.639751553,1.004658385,1710,2.655279503,1.518
174,37.8,-122.24,2.2697,52,4.368421053,1,731,3.206140351,1.27
175,37.8,-122.24,2.1563,52,4.585014409,1.074927954,1118,3.221902017,1.286
176,37.8,-122.24,2.1348,52,4.734328358,1.188059701,1006,3.002985075,1.406
177,37.8,-122.24,2.6292,47,3.693140794,1.061371841,1213,2.189530686,1.827
178,37.8,-122.23,2.3833,52,4.638132296,1.124513619,772,3.003891051,1.469
179,37.8,-122.24,2.957,52,4.496259352,1.047381546,1321,3.294264339,1.228
180,37.8,-122.24,2.5238,49,4.192023634,1.106351551,1487,2.196454948,1.693
181,37.8,-122.23,1.9375,52,4.209677419,0.989247312,488,2.623655914,1.266
182,37.8,-122.23,1.9028,51,4.056122449,1.056122449,949,2.420918367,1.279
183,37.8,-122.23,2.25,50,4.207228916,1.156626506,1149,2.768674699,1.235
184,37.8,-122.23,2.3929,52,4.471428571,1.067857143,844,3.014285714,1.119
185,37.79,-122.23,2.1917,43,4.844029245,1.091795288,4367,3.54752234,1.128
186,37.79,-122.23,2.9357,52,4.327669903,0.958737864,1659,4.026699029,1.079
187,37.79,-122.23,1.8854,30,3.798479087,1.003802281,1011,3.844106464,1.375
188,37.79,-122.24,2.1638,39,3.776349614,1.107969152,1464,3.763496144,1.055
189,37.79,-122.24,2.125,47,4.528052805,1.303630363,1237,4.082508251,0.955
190,37.79,-122.24,3.375,52,4.011904762,1.071428571,647,3.851190476,1.161
191,37.79,-122.24,2.2542,43,4.554621849,1.053221289,1284,3.596638655,1.122
192,37.79,-122.25,2.1,51,3.181818182,0.781818182,228,4.145454545,0.75
193,37.79,-122.25,1.6,39,3.74796748,1.048780488,381,3.097560976,1.125
194,37.79,-122.25,3.625,52,3.973568282,1.044052863,846,3.726872247,1.25
195,37.8,-122.26,1.6929,20,3.51035503,1.152366864,1659,2.454142012,1.15
196,37.77,-122.22,1.6471,52,2.833333333,0.927536232,520,3.768115942,0.95
197,37.77,-122.22,2.59,52,4.38996139,1.162162162,866,3.343629344,0.964
198,37.77,-122.23,2.57,52,4.202185792,1.12568306,612,3.344262295,0.72
199,37.78,-122.23,2.6429,52,3.746031746,1.158730159,415,3.293650794,0.713
200,37.78,-122.23,3.0257,52,4.046948357,1.009389671,994,4.666666667,0.808
201,37.78,-122.22,1.4886,50,4.025157233,1.111111111,1525,3.19706499,1.288
202,37.78,-122.23,1.9338,43,3.242009132,1.077625571,1506,3.438356164,1.125
203,37.78,-122.23,1.4844,52,3.866666667,1.011764706,1008,3.952941176,1.194
204,37.78,-122.23,1.6009,44,3.115845539,1.098535286,2813,3.745672437,1.181
205,37.79,-122.23,2.0375,48,4.944606414,1.15451895,1481,4.317784257,1.225
206,37.79,-122.23,2.293,49,5.365296804,0.99086758,859,3.922374429,1.063
207,37.79,-122.22,2.1494,37,4.479923518,1.09751434,1608,3.07456979,1.325
208,37.79,-122.23,1.6198,30,4.357142857,1.035714286,425,3.035714286,1.227
209,37.79,-122.23,1.3281,40,5.054347826,1.081521739,564,3.065217391,1.133
210,37.79,-122.22,3.5156,44,5.466911765,1.154411765,961,3.533088235,1.095
211,37.79,-122.22,3.9048,52,4.998540146,1.00729927,2273,3.318248175,1.647
212,37.79,-122.21,3.0893,52,3.907692308,0.974358974,600,3.076923077,1.25
213,37.79,-122.22,2.6042,46,4.489563567,1.091081594,1647,3.125237192,1.247
214,37.79,-122.22,2.5,49,4.306603774,1.061320755,1201,2.83254717,1.367
215,37.79,-122.22,2.7969,38,4.626707132,1.078907436,2167,3.28831563,1.417
216,37.79,-122.2,2.8321,29,4.823529412,1.105882353,939,2.761764706,1.5
217,37.79,-122.21,2.9583,47,5.284246575,1.051369863,859,2.941780822,1.388
218,37.79,-122.21,2.8365,34,4.581395349,1.079457364,1517,2.939922481,1.392
219,37.79,-122.21,2.875,35,4.520725389,1.059585492,1143,2.961139896,1.438
220,37.8,-122.21,3.0682,39,4.316810345,1.077586207,1109,2.390086207,1.565
221,37.8,-122.21,3.0757,39,4.524663677,1.002242152,1221,2.737668161,1.51
222,37.8,-122.2,4.9559,43,6.692307692,1.096703297,1115,2.450549451,2.73
223,37.8,-122.2,4.7721,52,5.77238806,1.093283582,706,2.634328358,2.171
224,37.8,-122.21,3.4861,52,4.984419263,1.007082153,1883,2.66713881,1.871
225,37.8,-122.2,5.1184,41,6.088235294,1.041176471,804,2.364705882,2.396
226,37.8,-122.21,4.0977,48,5.242063492,1.043650794,506,2.007936508,2.297
227,37.8,-122.19,4.744,48,7.117647059,1.088235294,610,2.56302521,2.573
228,37.8,-122.19,4.2727,46,5.837349398,1.027108434,768,2.313253012,2.469
229,37.79,-122.19,2.9844,50,5.260869565,1.059782609,462,2.510869565,1.799
230,37.79,-122.2,4.1739,40,4.510638298,1.089361702,667,2.838297872,1.696
231,37.8,-122.2,3.8487,46,5.115288221,1.015037594,1059,2.654135338,2.033
232,37.8,-122.19,4.0114,52,6.545126354,0.97833935,637,2.299638989,2.634
233,37.79,-122.19,4.6563,45,5.986784141,0.99339207,1106,2.436123348,2.318
234,37.79,-122.19,2.9297,28,4.69955157,1.137518685,1737,2.596412556,1.405
235,37.79,-122.2,2.3036,35,4.620512821,1.176923077,1009,2.587179487,1.26
236,37.79,-122.2,2.6667,49,4.2,0.928571429,737,3.50952381,1.22
237,37.79,-122.2,2.619,44,3.301425662,0.920570265,1354,2.757637475,1.347
238,37.79,-122.21,2.4167,45,4.462025316,1.124472574,1530,3.227848101,1.394
239,37.79,-122.2,2.7788,45,4.210416667,1.1,1410,2.9375,1.154
240,37.78,-122.21,2.7352,46,3.934973638,0.892794376,1390,2.44288225,1.373
241,37.78,-122.21,1.8472,52,5.49070632,1.115241636,1065,3.959107807,1.37
242,37.78,-122.21,2.6583,52,4.310204082,0.914285714,792,3.232653061,1.426
243,37.78,-122.21,3.0536,49,3.665306122,0.995918367,779,3.179591837,1.375
244,37.78,-122.22,2.3906,44,4.86557377,1.163934426,2269,3.719672131,1.117
245,37.78,-122.21,1.7188,43,4.181818182,1.13022113,1227,3.014742015,1.268
246,37.78,-122.21,2.625,47,3.65560166,1.029045643,753,3.124481328,1.113
247,37.77,-122.22,2.8015,40,3.659259259,0.844444444,547,4.051851852,1.148
248,37.78,-122.22,1.7276,50,4.036363636,1.075,1807,4.106818182,1.023
249,37.78,-122.22,2.0801,44,3.38989899,1.038383838,1700,3.434343434,1.319
250,37.78,-122.22,2.489,51,4.165394402,1.178117048,1543,3.926208651,1.191
251,37.76,-122.21,1.7546,52,4.733333333,1.046666667,1085,3.616666667,0.806
252,37.77,-122.21,4.0904,52,4.313868613,1.262773723,353,2.576642336,0.806
253,37.77,-122.21,2.6765,52,5,1.026845638,473,3.174496644,0.888
254,37.77,-122.2,2.4338,49,4.703933747,1.031055901,1621,3.35610766,1.024
255,37.77,-122.21,2.3309,46,3.485875706,1.059322034,1183,3.34180791,0.987
256,37.77,-122.21,2.2604,43,3.671480144,1.184115523,836,3.018050542,1
257,37.77,-122.19,1.8039,42,3.543726236,0.965779468,900,3.422053232,0.923
258,37.77,-122.2,2.2562,39,5.00744879,1.111731844,1888,3.515828678,0.948
259,37.77,-122.2,2.0562,41,4.536656891,1.217008798,1024,3.002932551,1.02
260,37.78,-122.2,3.5398,52,5.437352246,1.047281324,1225,2.895981087,1.584
261,37.78,-122.2,3.1167,39,4.659574468,1.061170213,1071,2.848404255,1.216
262,37.78,-122.2,2.5401,50,4.939153439,1.066137566,1128,2.984126984,1.291
263,37.77,-122.2,2.898,43,5.020661157,1.037190083,1537,3.175619835,1.214
264,37.78,-122.21,2.3125,44,4.399491094,1.053435115,1240,3.155216285,1.028
265,37.78,-122.19,2.875,52,6.107142857,1.071428571,469,2.791666667,1.6
266,37.77,-122.19,3.3715,52,5.105882353,1.007058824,1086,2.555294118,1.439
267,37.77,-122.19,3.5114,52,5.585131894,1.067146283,1144,2.743405276,1.512
268,37.78,-122.19,4.3125,52,6.645333333,1.106666667,1109,2.957333333,1.644
269,37.78,-122.19,3.22,52,5.956639566,1.075880759,984,2.666666667,1.565
270,37.78,-122.18,3.875,33,3.021276596,0.659574468,575,12.23404255,2.25
271,37.78,-122.19,5.2328,49,5.660287081,0.980861244,496,2.373205742,1.742
272,37.78,-122.19,3.7262,52,5.631578947,1.015789474,555,2.921052632,1.669
273,37.78,-122.2,4.5893,45,5.400611621,1.01529052,869,2.657492355,1.635
274,37.79,-122.18,5.2578,39,5.820754717,0.896226415,236,2.226415094,2.53
275,37.79,-122.18,7.0875,41,6.593457944,1.088785047,626,2.925233645,2.407
276,37.79,-122.18,3.9712,46,6.410334347,1.176291793,922,2.802431611,2.081
277,37.79,-122.19,2.9514,47,4.80078125,0.94921875,582,2.2734375,1.981
278,37.79,-122.19,2.6667,50,4.746268657,1.07960199,546,2.71641791,1.728
279,37.81,-122.18,5.4446,37,6.176691729,0.984962406,620,2.330827068,3.367
280,37.8,-122.18,6.2838,34,6.948717949,1,442,2.266666667,3.182
281,37.8,-122.18,6.7527,23,7.06402439,1.024390244,955,2.911585366,2.858
282,37.77,-122.13,7.0712,24,7.589506173,0.978395062,916,2.827160494,2.93
283,37.79,-122.16,5.9849,22,6.528723945,1.041179461,4985,2.534316218,3.71
284,37.78,-122.17,3.6875,42,5.707865169,0.973782772,651,2.438202247,1.573
285,37.77,-122.17,2.875,30,4.731152205,1.06116643,1704,2.423897582,1.353
286,37.78,-122.18,3.4205,43,4.877149877,1.081081081,1085,2.665847666,1.367
287,37.78,-122.18,3.2984,50,5.781690141,1.133802817,713,2.51056338,1.607
288,37.78,-122.17,3.875,49,4.933701657,0.977900552,468,2.585635359,1.406
289,37.78,-122.17,4.175,52,5.396694215,1.05785124,296,2.446280992,1.44
290,37.77,-122.16,4.375,47,5.76146789,0.995412844,570,2.614678899,1.619
291,37.77,-122.16,4.7708,48,5.427777778,1.077777778,446,2.477777778,1.563
292,37.77,-122.16,3.5739,45,6.052083333,1.033854167,968,2.520833333,1.76
293,37.77,-122.16,3.0958,39,5.009493671,1.10443038,857,2.712025316,1.458
294,37.77,-122.17,3.3958,39,5.00621118,1.062111801,912,2.832298137,1.419
295,37.77,-122.17,1.871,31,5.362831858,1.17920354,1360,3.008849558,0.907
296,37.76,-122.17,1.9356,41,4.490140845,1.033802817,1074,3.025352113,0.906
297,37.76,-122.17,2.1842,47,5.544502618,1.081151832,965,2.52617801,1.079
298,37.76,-122.18,2.2917,37,4.921875,1.11875,933,2.915625,1.07
299,37.76,-122.17,2.4333,38,4.983050847,1.121468927,987,2.788135593,0.982
300,37.76,-122.18,1.9479,50,4.825203252,1.06097561,907,3.68699187,0.895
301,37.76,-122.18,3.9063,52,4.56969697,1.060606061,447,2.709090909,0.938
302,37.76,-122.18,1.8407,49,5.11751663,1.002217295,1299,2.880266075,0.967
303,37.77,-122.18,2.0786,27,5.789808917,1.503184713,396,2.522292994,0.975
304,37.77,-122.18,2.8125,42,4.402985075,0.958955224,877,3.27238806,0.973
305,37.76,-122.18,1.8913,43,5.498637602,1.111716621,1111,3.027247956,0.912
306,37.76,-122.19,1.7056,49,5.085501859,1.048327138,790,2.936802974,0.914
307,37.77,-122.18,2.2768,52,4.953068592,0.987364621,1479,2.66967509,0.962
308,37.77,-122.18,3.2552,51,4.810502283,1.075342466,1173,2.678082192,1.201
309,37.77,-122.18,2.0556,52,4.775956284,0.989071038,1029,2.81147541,1
310,37.76,-122.19,2.4659,52,5.782857143,1.117142857,1030,2.942857143,0.947
311,37.76,-122.2,1.75,47,4,0.928315412,826,2.960573477,0.857
312,37.77,-122.19,2.0469,41,4.484581498,1.123348018,1412,3.110132159,0.893
313,37.77,-122.19,2.7159,45,5.306590258,1.126074499,1132,3.243553009,1.014
314,37.76,-122.19,1.2083,41,5.79245283,1.301886792,522,3.283018868,0.725
315,37.76,-122.19,1.925,45,4.198312236,1.004219409,630,2.658227848,0.741
316,37.75,-122.2,1.5809,36,4.556390977,0.992481203,531,3.992481203,0.7
317,37.76,-122.2,1.4097,37,4.017991004,1.103448276,1925,2.886056972,0.846
318,37.76,-122.19,0.7683,38,4.253561254,1.054131054,1144,3.259259259,0.818
319,37.75,-122.19,1.3194,19,4.244230769,1.086538462,1481,2.848076923,0.814
320,37.75,-122.19,0.8012,28,5.283950617,1.166666667,435,2.685185185,0.818
321,37.76,-122.19,1.9479,26,4.267326733,0.98019802,984,3.247524752,0.858
322,37.74,-122.19,1.1765,36,5.327044025,1.333333333,567,3.566037736,0.871
323,37.74,-122.18,2.3456,42,4.398373984,1.25203252,380,3.089430894,0.835
324,37.73,-122.19,2.1538,44,4.368852459,1.036885246,825,3.381147541,0.797
325,37.74,-122.19,2.5139,43,4.561290323,0.948387097,417,2.690322581,0.834
326,37.73,-122.19,1.2625,45,5.324041812,1.013937282,801,2.790940767,0.847
327,37.73,-122.18,2.9063,42,4.590909091,1.085858586,646,3.262626263,0.8
328,37.73,-122.18,2.5192,43,4.880701754,1.028070175,855,3,0.764
329,37.73,-122.18,2.1111,44,4.029411765,0.875,435,3.198529412,0.797
330,37.73,-122.18,2.455,42,5.223076923,1.120512821,2736,3.507692308,0.824
